date,AS_FTSE_DM_STAY_2022_Q2,meta
2022-06-16 01:00:00,121.21185189087623,
2022-06-16 02:30:00,120.03748082889445,
2022-06-16 03:00:00,118.48420919253564,
2022-06-16 18:30:00,119.3300563430819,
2022-06-16 20:00:00,121.21886710079642,
2022-06-16 23:00:00,143.05475248339667,
2022-06-16 23:59:59,156.76055151738558,c
2022-06-17 00:00:00,171.1506843950037,
2022-06-17 01:00:00,178.5652490918602,
2022-06-17 02:30:00,197.94089296593077,
2022-06-17 03:00:00,197.85264689972928,
2022-06-17 18:30:00,197.85264689972928,
2022-06-17 20:00:00,197.85264689972928,
2022-06-17 23:00:00,197.85264689972928,
2022-06-17 23:59:59,191.77469654700394,e
2022-06-20 00:00:00,55.29707855477199,
2022-06-20 01:00:00,49.69496056888625,
2022-06-20 02:30:00,67.41129344880707,
2022-06-20 03:00:00,69.24942568289762,
2022-06-20 18:30:00,71.61853681292389,
2022-06-20 20:00:00,72.13442640086146,
2022-06-20 23:00:00,54.71033657310666,
2022-06-20 23:59:59,89.0920660449812,c
2022-06-21 00:00:00,82.78339769817975,
2022-06-21 01:00:00,92.61827561061861,
2022-06-21 02:30:00,80.41900689314178,
2022-06-21 03:00:00,81.54944121840492,
2022-06-21 18:30:00,86.50296599865621,
2022-06-21 20:00:00,86.12493927800419,
2022-06-21 23:00:00,6.176789291463393,
2022-06-21 23:59:59,8.311388100228278,c
2022-06-22 00:00:00,11.060787293107847,
2022-06-22 01:00:00,18.203050021974494,
2022-06-22 02:30:00,10.355155348105988,
2022-06-22 03:00:00,9.798990878109016,
2022-06-22 18:30:00,11.412904816745431,
2022-06-22 20:00:00,11.391383726989101,
2022-06-22 23:00:00,-10.652454134692881,
2022-06-22 23:59:59,-16.113767964796516,c
2022-06-23 00:00:00,-21.13311585839179,
2022-06-23 01:00:00,-9.21843724648928,
2022-06-23 02:30:00,-31.65479869530916,
2022-06-23 03:00:00,-28.752509927176625,
2022-06-23 18:30:00,-28.752509927176625,
2022-06-23 20:00:00,-28.752509927176625,
2022-06-23 23:00:00,10.937111660912688,
2022-06-23 23:59:59,1.2197011918046954,c
2022-06-24 00:00:00,9.67799049069911,
2022-06-24 01:00:00,9.333418743428275,
2022-06-24 02:30:00,19.57886393161221,
2022-06-24 03:00:00,23.088853223460273,
2022-06-24 18:30:00,23.088853223460273,
2022-06-24 20:00:00,23.088853223460273,
2022-06-24 23:00:00,23.088853223460273,
2022-06-24 23:59:59,20.73905557713414,w
2022-06-27 00:00:00,20.45919670444119,
2022-06-27 01:00:00,7.190179002766868,
2022-06-27 02:30:00,-13.586678913564377,
2022-06-27 03:00:00,-15.101541513493018,
2022-06-27 18:30:00,-12.80011264485448,
2022-06-27 20:00:00,-12.769144933253806,
2022-06-27 23:00:00,-27.08991975694675,
2022-06-27 23:59:59,-29.78035384491232,c
2022-06-28 00:00:00,-24.28396165924375,
2022-06-28 01:00:00,-25.815593638408693,
2022-06-28 02:30:00,-14.17269559190774,
2022-06-28 03:00:00,-17.74829019848439,
2022-06-28 18:30:00,-17.448036145808288,
2022-06-28 20:00:00,-18.10437956144019,
2022-06-28 23:00:00,-6.593892298388674,
2022-06-28 23:59:59,-8.072122415560749,c
2022-06-29 00:00:00,-12.187816823369054,
2022-06-29 01:00:00,-17.088322087822597,
2022-06-29 02:30:00,-18.204287052471898,
